,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
195,19.8,12,15,3.04,12.32,1.933,0.106,1.827,2.08,30.2,71.23
196,20.2,12,16,4.04,11.74,1.956,0.133,1.823,2.31,30.73,72.43
197,26.8,15,13,2.42,10.82,2.025,0.122,1.903,2.14,29.88,76.23
198,20.1,13,12,2.69,9.35,2.145,0.141,2.004,2.18,29.6,76.23
199,23.1,13,16,2.56,13.31,2.007,0.136,1.87,2.43,30.12,68.55
200,23.9,12,6,1.49,4.97,1.996,0.039,1.961,2.94,30.19,71.56
201,20.7,12,17,3.91,13.16,1.988,0.162,1.827,1.23,30.52,68.5
202,16.1,7,12,3.13,8.49,1.894,0.097,1.797,2.27,29.71,76.33
203,11.7,10,18,5.66,12.33,1.994,0.185,1.81,2.12,29.8,78.43
204,14.4,9,15,5.18,9.53,1.89,0.14,1.75,2.06,29.57,73.43
205,19.0,7,11,2.82,8.47,1.948,0.089,1.859,2.15,29.45,75.36
206,15.0,9,14,3.05,10.84,1.946,0.115,1.831,2.33,29.75,75.85
207,13.4,8,17,5.25,11.36,1.962,0.157,1.805,1.15,30.07,77.57
208,18.9,13,5,1.2,3.87,0.0,0.0,0.0,1.36,28.49,76.65
209,15.0,11,11,3.06,7.75,0.0,0.0,0.0,2.83,28.69,72.32
210,14.2,8,12,3.49,8.84,2.131,0.152,1.98,2.06,29.04,80.05
211,14.1,9,14,3.86,10.57,2.021,0.154,1.866,1.96,30.15,73.54
212,12.1,7,15,3.83,11.19,1.922,0.109,1.813,1.69,29.48,74.62
213,16.7,9,6,1.8,4.68,1.909,0.035,1.876,2.37,29.65,76.84
214,40.1,18,10,1.44,8.05,1.995,0.056,1.939,2.21,28.41,74.17
215,31.2,18,15,2.01,12.75,2.216,0.144,2.072,1.77,27.83,76.94
216,32.8,23,18,2.36,15.37,2.046,0.131,1.915,1.54,28.06,71.45
217,39.8,21,13,1.65,11.38,2.024,0.113,1.911,2.12,28.04,72.97
218,34.3,20,20,3.22,17.07,2.122,0.2,1.922,1.02,28.68,73.61
219,36.2,25,15,2.73,12.26,2.025,0.142,1.883,1.96,28.06,70.85
