NO,Gender,Bornyear,Race,Player,Sportyear,Bestpride,Income,PrantEdu,PersonalEdu,WantJob,SS01,SS02,SS03,SS04,SS05,SS06,SS07,SS08,SS09,SS10,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,CB01,CB02,CB03,CB04,CB05,CB06,CB07,CB08,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10
10251,male,81,3,0,6,2,2,3,3,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,2,5,5,5,5,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4
10252,male,81,1,0,6,2,2,3,2,1,3,4,4,4,4,4,4,4,5,3,3,4,4,4,4,4,3,5,5,5,3,3,4,4,4,5,4,4,5,5,4,3,4,3,3,3,4,5
10253,male,81,1,0,6,1,3,2,3,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
10254,male,82,1,0,9,2,2,3,3,0,4,4,2,5,5,5,5,4,5,5,4,5,5,3,5,4,4,4,4,5,5,2,2,4,2,5,2,5,5,4,5,4,4,5,5,5,2,4
10255,male,79,1,0,3,2,3,3,2,0,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,2,2,2,4,2,2,2,2
10256,female,82,1,0,8,2,1,3,2,0,3,3,3,4,4,4,4,4,5,3,4,4,4,4,5,4,4,4,4,4,2,2,2,3,4,5,3,4,4,4,2,4,2,3,2,1,2,2
10257,male,81,,0,3,3,2,3,2,0,1,1,5,1,1,1,1,1,5,5,1,5,1,1,1,5,1,1,5,5,1,1,1,1,1,1,1,1,5,5,1,5,5,1,1,1,1,1
10258,male,82,1,0,5,2,3,5,3,1,3,4,4,4,4,3,4,4,5,4,4,5,4,4,4,1,4,4,3,5,4,4,3,3,4,4,3,4,4,4,3,3,3,3,4,3,3,4
10259,female,81,1,0,3,2,1,6,3,1,3,5,4,3,4,4,4,4,5,5,5,5,3,4,5,5,5,5,5,5,3,3,3,5,3,5,5,5,5,5,4,4,4,5,4,3,3,4
10260,male,82,1,0,8,2,1,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
10261,female,81,1,0,3,2,1,3,3,1,4,4,4,4,5,5,5,5,4,5,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,2,3,4,3,4,4,4,4,5,4,4,4
10262,male,81,1,0,6,1,3,2,2,0,4,4,4,4,4,4,4,3,5,5,5,5,3,4,4,4,3,4,5,5,4,4,3,3,5,4,5,5,5,4,3,3,4,3,3,3,3,3
10263,male,82,1,0,4,2,2,6,3,1,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,4,3,4
